KEY,age,hh_head_yn,sex
uuid:ad09d579-a8a9-4b88-b87e-cb9224e5bae0,24.53877512060326,yes,Male
uuid:ad09d579-a8a9-4b88-b87e-cb9224e5bae0,17.519832206447717,no,Female
uuid:ad09d579-a8a9-4b88-b87e-cb9224e5bae0,11.218298217999314,no,Female
uuid:ad09d579-a8a9-4b88-b87e-cb9224e5bae0,10.183229161421405,no,Female
uuid:ad09d579-a8a9-4b88-b87e-cb9224e5bae0,9.382269153426625,no,Male
uuid:c1a14092-5cf8-44f9-a96e-8b708cca2888,34.68404522606274,yes,Male
uuid:f8a4e718-12b0-4e37-8248-2487959fe35c,15.781679775962033,yes,Male
uuid:a3739bb6-aea1-4666-802b-05e6f81e8d62,46.47378879391398,yes,Male
uuid:a3739bb6-aea1-4666-802b-05e6f81e8d62,30.44563026624934,no,Female
uuid:a3739bb6-aea1-4666-802b-05e6f81e8d62,13.323133333429858,no,Female
uuid:65ae4112-948d-4c69-af95-d98a7d65ab04,37.7741873510066,yes,Male
uuid:65ae4112-948d-4c69-af95-d98a7d65ab04,30.603827700262258,no,Female
uuid:fa2140bc-b1f6-47e7-ad99-43b2cb4da455,22.264703128544433,yes,Male
uuid:fa2140bc-b1f6-47e7-ad99-43b2cb4da455,18.147216817279872,no,Female
uuid:fa2140bc-b1f6-47e7-ad99-43b2cb4da455,1.8244841125120326,no,Male
uuid:fa2140bc-b1f6-47e7-ad99-43b2cb4da455,2.459612103143275,no,Male
uuid:43feef1a-0861-476d-91ce-cd25baf4500b,29.978183103270922,yes,Male
uuid:43feef1a-0861-476d-91ce-cd25baf4500b,28.531920564630248,no,Male
uuid:f5ed6099-a59b-4ffd-a64d-15fcdfa883f2,13.11656286283148,yes,Male
uuid:f5ed6099-a59b-4ffd-a64d-15fcdfa883f2,11.610267952261315,no,Female
uuid:f5ed6099-a59b-4ffd-a64d-15fcdfa883f2,16.832235841397157,no,Male
uuid:f5ed6099-a59b-4ffd-a64d-15fcdfa883f2,7.601898110330078,no,Male
uuid:f5ed6099-a59b-4ffd-a64d-15fcdfa883f2,15.49391683279897,no,Male
uuid:77697e2e-c08f-4e54-9e37-490057d9ce84,41.96689914324203,yes,Male
uuid:77697e2e-c08f-4e54-9e37-490057d9ce84,0.06806714979416473,no,Male
uuid:6796e2f2-4365-4a94-8228-1868426fe6c3,57.424043691285625,yes,Female
uuid:6796e2f2-4365-4a94-8228-1868426fe6c3,22.67980680558414,no,Male
uuid:6796e2f2-4365-4a94-8228-1868426fe6c3,28.97462588942657,no,Male
uuid:65e1e323-218a-4c69-bb93-f629458af9eb,44.052511130949895,yes,Male
uuid:65e1e323-218a-4c69-bb93-f629458af9eb,22.13680078437479,no,Male
uuid:65e1e323-218a-4c69-bb93-f629458af9eb,12.306447485298047,no,Male
uuid:65e1e323-218a-4c69-bb93-f629458af9eb,14.30705826278442,no,Male
uuid:65e1e323-218a-4c69-bb93-f629458af9eb,8.3771937469419,no,Male
uuid:b4b5d4aa-128f-4a32-8380-477597609447,40.34701296018964,yes,Female
uuid:b4b5d4aa-128f-4a32-8380-477597609447,8.87537865794113,no,Male
uuid:b4b5d4aa-128f-4a32-8380-477597609447,6.414541640244487,no,Male
uuid:b4b5d4aa-128f-4a32-8380-477597609447,8.080628083731671,no,Male
uuid:b4b5d4aa-128f-4a32-8380-477597609447,0.5101397961588763,no,Male
uuid:b4b5d4aa-128f-4a32-8380-477597609447,0.7384685810695053,no,Female
uuid:80ac7913-7d00-4e80-aa96-67ad3c728331,61.49987987920071,yes,Male
uuid:80ac7913-7d00-4e80-aa96-67ad3c728331,8.878001254041049,no,Male
uuid:1cc21f4b-c6d5-4e82-9d69-777a9e0b3685,72.59120258005083,yes,Male
uuid:ca8f4c3d-a8b8-4113-aa03-5511adf044f8,29.497527974665008,yes,Female
uuid:5aa8ea2b-2976-43af-810b-aefd098800f9,73.64923443284204,yes,Male
uuid:5aa8ea2b-2976-43af-810b-aefd098800f9,64.38079466309605,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,15.468131606822286,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,30.753959724449494,yes,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,20.569507349321547,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,17.382530970464444,no,Male
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,19.25420160309124,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,17.22865435973069,no,Male
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,8.198059273028692,no,Male
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,17.386154014033316,no,Male
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,7.46621362690003,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,5.648856750920305,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,5.756033459678237,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,6.291769340123013,no,Female
uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,0.8370650207929957,no,Female
uuid:291cbf85-6c45-4dbb-8a06-be1e28323262,56.95500706210407,yes,Male
uuid:291cbf85-6c45-4dbb-8a06-be1e28323262,3.850627900637263,no,Male
uuid:291cbf85-6c45-4dbb-8a06-be1e28323262,13.703446865187336,no,Male
uuid:291cbf85-6c45-4dbb-8a06-be1e28323262,13.989998015422414,no,Male
uuid:291cbf85-6c45-4dbb-8a06-be1e28323262,29.110588099854734,no,Male
uuid:7bae8632-53a7-4d6f-a87c-9709b963af5e,35.646890835363934,yes,Male
uuid:7bae8632-53a7-4d6f-a87c-9709b963af5e,24.95427393448929,no,Female
uuid:7deeef70-babe-4342-b8aa-dec14babcf66,41.811664103583496,yes,Male
uuid:7deeef70-babe-4342-b8aa-dec14babcf66,30.70732194115599,no,Female
uuid:7deeef70-babe-4342-b8aa-dec14babcf66,16.594954213551304,no,Male
uuid:7deeef70-babe-4342-b8aa-dec14babcf66,6.413459218475108,no,Female
uuid:7deeef70-babe-4342-b8aa-dec14babcf66,4.432514949615548,no,Female
uuid:7deeef70-babe-4342-b8aa-dec14babcf66,8.862038979922122,no,Male
uuid:7deeef70-babe-4342-b8aa-dec14babcf66,21.480844893416283,no,Female
uuid:a7458646-e00c-4a03-b177-ac6f5f7c18d4,31.574070537976596,yes,Male
uuid:a7458646-e00c-4a03-b177-ac6f5f7c18d4,21.325601635267848,no,Female
uuid:a059b709-8e43-4622-b053-4286d08d531b,35.60753024516931,yes,Female
uuid:a059b709-8e43-4622-b053-4286d08d531b,13.47100045871348,no,Male
uuid:a059b709-8e43-4622-b053-4286d08d531b,13.620738763179798,no,Female
uuid:a059b709-8e43-4622-b053-4286d08d531b,10.594458239098344,no,Male
uuid:a059b709-8e43-4622-b053-4286d08d531b,5.447926854296931,no,Female
uuid:9cd6febd-d7c5-4637-a126-b82ab28cd3d8,33.93914409450761,yes,Male
uuid:9cd6febd-d7c5-4637-a126-b82ab28cd3d8,36.20570344309544,no,Female
uuid:9cd6febd-d7c5-4637-a126-b82ab28cd3d8,2.881576597406748,no,Female
uuid:63f68f26-17b5-4705-bf1f-91e9621aed6f,49.501085573266344,yes,Female
uuid:63f68f26-17b5-4705-bf1f-91e9621aed6f,12.019333512852205,no,Male
uuid:67eaf9ba-4580-4dfe-9210-54d14193e37b,39.160275588257306,yes,Male
uuid:6f2d0a20-1597-4ec9-bc93-a2599185167b,29.34884642455953,yes,Female
uuid:6f2d0a20-1597-4ec9-bc93-a2599185167b,15.074914607497044,no,Female
uuid:6f2d0a20-1597-4ec9-bc93-a2599185167b,6.749932372914366,no,Male
uuid:eb05f49f-a055-4ed3-acbd-26e9863db3df,55.843006011064894,no,Female
uuid:eb05f49f-a055-4ed3-acbd-26e9863db3df,44.09861422604764,yes,Male
uuid:eb05f49f-a055-4ed3-acbd-26e9863db3df,18.13248083129016,no,Female
uuid:eb05f49f-a055-4ed3-acbd-26e9863db3df,17.847343847356093,no,Female
uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,33.251746746112076,yes,Male
uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,30.93239185851827,no,Female
uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,14.310362706415006,no,Female
uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,10.388007280748955,no,Male
uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,14.605034261598862,no,Male
uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,3.645053980627932,no,Female
uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,4.829004761595304,no,Male
uuid:ccbde850-b094-4681-8ca8-af721a354091,41.24635525552843,yes,Male
uuid:ccbde850-b094-4681-8ca8-af721a354091,39.24123121358102,no,Female
uuid:ccbde850-b094-4681-8ca8-af721a354091,21.214826108933856,no,Male
uuid:ccbde850-b094-4681-8ca8-af721a354091,13.940054877734864,no,Male
