item,year,price
Oil (vegetable) - Retail,2011,225
Oil (vegetable) - Retail,2011,215
Oil (vegetable) - Retail,2011,220
Oil (vegetable) - Retail,2011,220
Oil (vegetable) - Retail,2011,217
Oil (vegetable) - Retail,2011,220
Oil (vegetable) - Retail,2012,250
Oil (vegetable) - Retail,2012,250
Oil (vegetable) - Retail,2012,250
Oil (vegetable) - Retail,2012,230
Oil (vegetable) - Retail,2012,230
Oil (vegetable) - Retail,2012,230
Oil (vegetable) - Retail,2012,230
Oil (vegetable) - Retail,2012,230
Oil (vegetable) - Retail,2012,233
Oil (vegetable) - Retail,2012,233
Oil (vegetable) - Retail,2012,240
Oil (vegetable) - Retail,2012,250
Oil (vegetable) - Retail,2013,230
Oil (vegetable) - Retail,2013,230
Oil (vegetable) - Retail,2013,240
Oil (vegetable) - Retail,2013,230
Oil (vegetable) - Retail,2013,220
Oil (vegetable) - Retail,2013,219
Oil (vegetable) - Retail,2013,200
Oil (vegetable) - Retail,2013,199
Oil (vegetable) - Retail,2013,219
Oil (vegetable) - Retail,2013,219
Oil (vegetable) - Retail,2013,224
Oil (vegetable) - Retail,2013,180
Oil (vegetable) - Retail,2014,226.25
Oil (vegetable) - Retail,2014,226.25
Oil (vegetable) - Retail,2014,226.25
Oil (vegetable) - Retail,2014,230
Oil (vegetable) - Retail,2014,202.25
Oil (vegetable) - Retail,2014,200
Oil (vegetable) - Retail,2014,190
Oil (vegetable) - Retail,2014,160
Oil (vegetable) - Retail,2014,177.5
Oil (vegetable) - Retail,2014,221.75
Oil (vegetable) - Retail,2014,222
Oil (vegetable) - Retail,2014,220
Oil (vegetable) - Retail,2015,215
Oil (vegetable) - Retail,2015,208
Oil (vegetable) - Retail,2015,210
Oil (vegetable) - Retail,2015,205
Oil (vegetable) - Retail,2015,200
Oil (vegetable) - Retail,2015,190
Oil (vegetable) - Retail,2015,150
Oil (vegetable) - Retail,2015,200
Oil (vegetable) - Retail,2015,200
Oil (vegetable) - Retail,2015,180
Oil (vegetable) - Retail,2015,175
Oil (vegetable) - Retail,2015,181
Oil (vegetable) - Retail,2016,182
Oil (vegetable) - Retail,2016,183
Oil (vegetable) - Retail,2016,180
Oil (vegetable) - Retail,2016,185
Oil (vegetable) - Retail,2016,185
Oil (vegetable) - Retail,2016,180
Oil (vegetable) - Retail,2016,180
Oil (vegetable) - Retail,2016,178
Oil (vegetable) - Retail,2016,176
Oil (vegetable) - Retail,2016,175
Oil (vegetable) - Retail,2016,172
Oil (vegetable) - Retail,2017,175
Oil (vegetable) - Retail,2017,180
Oil (vegetable) - Retail,2017,190
Oil (vegetable) - Retail,2017,196
Oil (vegetable) - Retail,2017,198
Oil (vegetable) - Retail,2017,198
Oil (vegetable) - Retail,2017,199
Oil (vegetable) - Retail,2017,185
Oil (vegetable) - Retail,2017,185
Oil (vegetable) - Retail,2017,179.66
Oil (vegetable) - Retail,2017,182.5
Oil (vegetable) - Retail,2018,185
Oil (vegetable) - Retail,2018,184.67
Oil (vegetable) - Retail,2018,186.67
Oil (vegetable) - Retail,2018,188.67
Oil (vegetable) - Retail,2018,190
Oil (vegetable) - Retail,2018,191.45
Fuel (kerosene) - Retail,2014,84.12
Fuel (kerosene) - Retail,2014,83.05
Fuel (kerosene) - Retail,2015,57.21
Fuel (kerosene) - Retail,2015,59.24
Fuel (kerosene) - Retail,2015,62.74
Fuel (kerosene) - Retail,2015,62.74
Fuel (kerosene) - Retail,2015,58.94
Fuel (kerosene) - Retail,2015,53.52
Fuel (kerosene) - Retail,2015,53.27
Fuel (kerosene) - Retail,2016,46.13
Fuel (kerosene) - Retail,2016,39.62
Fuel (kerosene) - Retail,2016,42.15
Fuel (kerosene) - Retail,2016,44.94
Fuel (kerosene) - Retail,2016,47.96
Fuel (kerosene) - Retail,2016,59.01
Fuel (kerosene) - Retail,2016,61.45
Fuel (kerosene) - Retail,2016,62.48
Fuel (kerosene) - Retail,2016,58.71
Fuel (kerosene) - Retail,2016,62.16
Fuel (kerosene) - Retail,2016,63.56
Fuel (kerosene) - Retail,2017,63.44
Fuel (kerosene) - Retail,2017,67.19
Fuel (kerosene) - Retail,2017,67.96
Fuel (kerosene) - Retail,2017,64.38
Fuel (kerosene) - Retail,2017,65.28
Fuel (kerosene) - Retail,2017,65.56
Fuel (kerosene) - Retail,2017,63.42
Fuel (kerosene) - Retail,2017,64.36
Fuel (kerosene) - Retail,2017,58.71
Fuel (kerosene) - Retail,2017,62.16
Fuel (kerosene) - Retail,2017,63.56
Fuel (kerosene) - Retail,2018,74.78
Fuel (kerosene) - Retail,2018,76.75
Fuel (kerosene) - Retail,2018,77.45
Fuel (kerosene) - Retail,2018,76.72
Fuel (kerosene) - Retail,2018,78.22
Fuel (kerosene) - Retail,2018,84.24
Fuel (diesel) - Retail,2014,104.67
Fuel (diesel) - Retail,2014,102.98
Fuel (diesel) - Retail,2015,77.48
Fuel (diesel) - Retail,2015,79.34
Fuel (diesel) - Retail,2015,84.56
